0,1,2,3,4
Soffa,4e512e281495fc2ca416c8eb,65.04032681605764,25.415999270429847,Scenic Lookout
Möljänpää,572e0d2f498ed619e5b0cba4,65.04083,25.415575,Beach
M/s Alexandra,5038b9ace4b05a2968175db1,65.03809737948437,25.42431521852041,Boat or Ferry
Toppilan saunamaailma,4e4bca511f6e2a789a8bb974,65.04005031143132,25.43145739064289,Sauna / Steam Room
Meripirtti,4eeb81ca722eaa76d9cae6fb,65.03889461430424,25.43219657762303,Diner
Saunamaailma,532194b411d290d3373857d3,65.0400157492394,25.431206199673824,Sauna / Steam Room
Toppilan Liikuntatalo,4cb863e190c9a143d22b7fd6,65.03914892582102,25.437738786616396,Gym / Fitness Center
Lounaskahvila Kirsikka,4df89ce845dd816eb5a7527c,65.04028567242379,25.466388416600612,Diner
Seniorkunto,4f965be3e4b0efeae86d13b7,65.03940749828914,25.483143807890762,Spa
Paulanharjun kenttä,4e44134aa809d4ed1bb7b34b,65.04001552810581,25.486002354554557,Athletics & Sports
Allu&Retu's,50423c7ce4b0aa9bdbd44094,65.03969596826514,25.49427141505074,Bar
Hannun Kalusteverstas  Oy,528ddd2c11d26c9d2165d798,65.038144,25.508056,Furniture / Home Store
Sale,4fd04778e4b0198f220c9dae,65.03759975755884,25.45560661891568,Grocery Store
Kirppis Aarrearkku,4d70bcef68276ea874b98b90,65.03708675199445,25.462896823883057,Flea Market
Puolivälinkankaan vesitorni,4e049a9d922e0187de4d7fcd,65.03751003173144,25.486331314177825,Scenic Lookout
La Cucina,583c84f3288b6a0d9c0b04cc,65.03614,25.441494,Pizza Place
K-Supermarket Toppila,56606786498e50f95bbe8ca0,65.0359494570793,25.44054979701659,Supermarket
Kamppailuklubi,4d90b3b11716a143d3c367f7,65.03589049868418,25.46287497930028,Martial Arts Dojo
Maistila,55bb6baa498e471ae007e675,65.036743,25.466777,Brewery
Välivainion hiekkakenttä,4fc251c0e4b008d93b1896cb,65.03643125242944,25.471092265698704,Soccer Field
Antell Kahvila,56684401498e29c34ef4b925,65.03584104205271,25.44048427155946,Bakery
Pizzeria Figaro,55033ab3498eada1967d367a,65.03526789775543,25.4464312253549,Pizza Place
Oulun karateseura,4f11882de4b00420546ccc48,65.0350026299952,25.444719603879992,Martial Arts Dojo
Ykän Pub,4c9cf54c46978cfae5f7927f,65.03527892380964,25.44680893421173,Pub
Tirolinpuiston leikkipaikka,4e3e37151838cb1b82fbed45,65.035192,25.461375,Playground
Hukka Xpress,58234e37ffa37d51baa0f729,65.03559476486797,25.465654134750366,Gym
Kemintie P,4ed47f1ab8f70c8aa6c5539e,65.03520508404317,25.468225586682674,Bus Station
Muurahaispuiston Koira-aitaus,4debdc54ae60e989237df537,65.03547979215645,25.4999449143233,Dog Run
Antellin leikkipuisto,4dee3f5b1f6e0f9053f55010,65.03422037070303,25.421079044326643,Playground
Oulu-laiva,4e5530d722710ebb5a93dc02,65.03410091493674,25.42760814818384,Boat or Ferry
Ville's Party Box,535d1adf498e83174de382d1,65.03501892089844,25.426528930664062,Performing Arts Venue
Satamaranta,521cfc7793cd8ef3b285dbb0,65.033806081538,25.4318904876709,Park
Satamaruokala,5138594fe4b07fcaaf7dbed2,65.03440093306381,25.43480347734837,Diner
Tokmanni,4c7539f11b30a093aeacee09,65.0343877070739,25.450161828727055,Discount Store
Tanssikoulu Vamos,5a22797567a9fe28560a05a5,65.035588,25.464829,Salsa Club
Martela Outlet Oulu,575abd43498e04099a1381bc,65.03559,25.46603,Furniture / Home Store
Crossfit Routa,58c98998ccce313e5d3780d5,65.0355,25.465508,Gym / Fitness Center
Ravintola Nallikari,53622721498e09c2542beb6c,65.03261873940056,25.411178084354315,Scandinavian Restaurant
Nallikari Camping Masto (C-area),4f6500b9e4b0272f2c9b0cfa,65.03294415365708,25.41648797236399,Campground
Toppilansaari,579273e1498edf90e4aca78b,65.03333,25.431211,Lake
Allin Matala,4df31a907d8b18e1722dec68,65.03281796102961,25.44462304602505,Event Space
Akkutalo,4db972d2cda10f31e62c43a0,65.03268326249794,25.449121785482102,Shop & Service
Pelixir,4f184a4bc2eec8364b1a6fd5,65.03348466433701,25.465316472355173,Bowling Alley
Sale,5065c55de4b094f28a201100,65.03323759542164,25.465676578311975,Grocery Store
STARK Oulu Takalaanila,585aeb66e386e329a4bc6a5f,65.03485429999999,25.5042098,Construction & Landscaping
Majakkakahvila,53b00f0d498eaa800d40e073,65.03296153305934,25.405817373886897,Café
Nallikarin Koirapuisto,4e75f325483b0cf5ecf72858,65.031673,25.416821,Dog Run
Antell Tukkitie,4c0a3122a1b32d7fede498f0,65.03216672718212,25.45004367828369,Bakery
Mittamiehentie E Bus Stop,4f5f5e47e4b040463da5a81d,65.03210291397414,25.465387369000332,Bus Line
G-Pappila,56361c94498ededd46963b11,65.0325993445017,25.471215024648306,Pizza Place
Shell Express,4ba63d48f964a520383e39e3,65.0317329472602,25.46965163680947,Gas Station
Vanha Artturi,4e0fa079a8099e152614c5e2,65.03256680722073,25.47127802509648,Bar
OPS Halli,5184e9e8498e4d97a55506c4,65.03244281990887,25.49201213723458,Soccer Field
Kalevala Park,51e29da0498e26cca1fda82a,65.03119931133868,25.416293053990554,Park
Nallikari Lomakylä Camping,4c57092112f0d13ac63106ad,65.03066299720938,25.417207832966135,Campground
Toppilansaari,4faa79fce4b0f8dd985d52ee,65.03098165196153,25.431591071101554,Neighborhood
Hard Court Bike Polo Rink Castren,51a63342498e0a52b9368d20,65.030772,25.493608,Hockey Field
Nallikarin uimaranta,4bdef012e75c0f47df54c903,65.0297864207733,25.412863765681717,Beach
Nallikahvila,5195ccd7498ed36245177f7a,65.0298869101348,25.41766181976768,Café
Prikipuisto,4e27e087aeb75df8caa66693,65.02998153000611,25.43364315015943,Park
Café Villa Hannala,4c4a9e8e5609c9b6ec47ef8f,65.0295421919093,25.43757140636444,Café
MeriOulun Kesäteatteri,4e2816cee4cd6c6cb342beda,65.0303300203466,25.44024419229987,Theater
Toppilan Möljä,4c5c307bd25320a10a6dc27a,65.02999962588035,25.43988336658631,Theater
Hietasaarentie P,581b099520e2867be71021c2,65.03054,25.448145,Bus Stop
Oulun joukkoliikkenne Bus 22,4e9cfe0e49017c00c85b367f,65.03042310440534,25.449142456054688,Bus Line
Alko,4d42eb2c6e0bcbff47ad753d,65.03035425466648,25.46978537481577,Liquor Store
Musti ja Mirri,4cd29ac6f4bfb1f73fa6362f,65.0302552169592,25.46965138879876,Pet Store
K-Supermarket,4c529b139d642d7ffe8d76df,65.03026320163912,25.469694992039344,Supermarket
Välivainion Puutarha Oy,4e2d3579e4cd3bc166a725b6,65.03017138466251,25.489686999165063,Flower Shop
Castrenin urheilukenttä,4dfcd46945ddebdfeaabcfdb,65.030061512927,25.49343138825048,Soccer Field
Castren,4c8b703d2e333704cdd1cc41,65.02995767260546,25.49437735554895,Soccer Field
Oulu-lehti Areena,4c83963d47cc224b5f40909f,65.02999746026293,25.494401140086683,Soccer Stadium
Hietasaaren keskusleikkipuisto,4e7f4409cc215a96c1993eea,65.0288916336542,25.41481866088541,Playground
Insinööritoimisto Polartek Oy/ Oulu,579f21bc498e13267bc70245,65.028639,25.5099093,Construction & Landscaping
OAT Oy,5c0ea3acd48ec1002c1c36c2,65.0288,25.51103,Construction & Landscaping
Ravintola Maisema,4f605a9ce4b006673aabbf04,65.02780108521482,25.413368983069955,Restaurant
Fit Eden,5177eeaae4b056d086ede1c6,65.02787898249314,25.414171322082872,Gym / Fitness Center
Eden Kylpylä / Spa,556f5bf6498e9d09a57f86f7,65.02789730586566,25.414241864030277,Pool
Aulabaari Ara,51459b04e4b0da9341d2b48f,65.02785373474431,25.4147300421474,Hotel Bar
Break Sokos Hotel Eden,4bc791d493bdeee1368637ae,65.02784085412078,25.414714354035016,Hotel
