Name,Id,Latitude,Longtitude,Categories,City
Halkoniemi,4fd0e9bae4b01e9f635eebbe,61.52443093367565,23.70519847190864,Pier,"Tampere, Finland"
M/Y RUFUS II,4fd0cb55e4b06c6784ad68c6,61.52532059447915,23.708508013245783,Boat or Ferry,"Tampere, Finland"
Lentävänniemen pururata,51b6f427498ec741135a3a50,61.52550359006772,23.70992347783839,Trail,"Tampere, Finland"
Reuharin pikkukenttä,4e74553b1f6e072f132ad6d8,61.525298511010114,23.71810544595974,Soccer Field,"Tampere, Finland"
På bryggan vid Nässy,55cf481d498e0153ca37f0ba,61.52490400000001,23.720144,Bathing Area,"Tampere, Finland"
Nuotiopaikka,501169b5e4b0abd87463a6b1,61.525513,23.728985,Campground,"Tampere, Finland"
Reuharin kalliot,4fed8c5ee4b0430e0a51a047,61.52570287547685,23.72867795588243,Beach,"Tampere, Finland"
M/S Sauna,51a8a981e4b09086363d8321,61.52618368250205,23.744118597831392,Boat or Ferry,"Tampere, Finland"
järvellä,4fc25556e4b0852f4c71935c,61.52464165595008,23.74377788354641,Lake,"Tampere, Finland"
Pölkkylänniemi,51adda85498e888a291d4074,61.52330891466397,23.706919083216253,Harbor / Marina,"Tampere, Finland"
Näsijärvi,4d4553f8e198721efff7c48b,61.51875269554073,23.748706161757163,Lake,"Tampere, Finland"
Siilinkari,4b9f7dbcf964a5203a2637e3,61.517486390213115,23.753913646357464,Lighthouse,"Tampere, Finland"
Siilinkarin Majakka,513c79bee4b0f66612f84a50,61.517564064203995,23.75396490097046,Lighthouse,"Tampere, Finland"
M/Y RUFUS II,4fd0cb6fe4b0e082b890c105,61.51759040109827,23.764336074901728,Boat or Ferry,"Tampere, Finland"
torpan sänky,4fd7add3e4b0b5d989d5f6dc,61.51702499389648,23.70257377624512,Motel,"Tampere, Finland"
Pilkillä,4f421edee4b01e824f67437e,61.51645756092394,23.80273146546115,Lake,"Tampere, Finland"
Privare Beach A La Emilia Ja Annika,51ab58ed498ec0f9fc3be6b7,61.515965,23.806658,Beach,"Tampere, Finland"
Rauhaniemen kansankylpylä,4b754f49f964a520a0052ee3,61.5153339652977,23.786429566964692,Sauna / Steam Room,"Tampere, Finland"
Tampereen Vihuri,4de255a7b0fb267148826004,61.515326249061744,23.78651013809425,Harbor / Marina,"Tampere, Finland"
Rauhaniemen uimaranta,4fd1b2f6e4b02e374ad4613f,61.51484658955247,23.785958290100087,Beach,"Tampere, Finland"
Vene 71,4da0e2aeb3e7236a95fdfd78,61.51488253561108,23.791167154922036,Boat or Ferry,"Tampere, Finland"
Kaupinojan sauna,4baa060af964a5209a443ae3,61.51525578211075,23.804384673957163,Sauna / Steam Room,"Tampere, Finland"
Kaupinojan uimaranta,4baa0578f964a5206f443ae3,61.51456974190847,23.80331590484181,Beach,"Tampere, Finland"
Rauhaniemen leikkipaikka,4f798490e4b0633649714fd3,61.51372843290957,23.78342038130281,Playground,"Tampere, Finland"
