0,1,2,3
Väinö Linnan puisto,61.50139217312852,23.742728878846552,Playground
Amurin päiväkoti,61.50079275729925,23.74316204147832,Daycare
Mummola,61.50129931183074,23.74400282931085,Residential Building (Apartment / Condo)
WILLE VALOKUVAA,61.50111636821674,23.746660325478402,Art Gallery
Loisto,61.500973906297006,23.747317415431997,Salon / Barbershop
Divanails,61.5009853800547,23.74719070294684,Nail Salon
Mummula,61.500727876045474,23.748147360859665,Residential Building (Apartment / Condo)
Eläke Kutuluola,61.50081538188506,23.748452664962173,Wine Bar
Galleria Rajatila,61.50127668611381,23.750148583085657,Art Gallery
Hämeenpuisto 10,61.50123555213677,23.75057471005845,Building
Amurinlinna,61.500916898776495,23.74882458065826,Residential Building (Apartment / Condo)
Huusholli,61.50091522731518,23.749308586120605,Playground
The Australian Barbecue Co,61.501166,23.750985,Food Stand
Lakeside Golf talvitoimisto,61.50099477494357,23.750990491215433,Office
Hämeenpuisto 9,61.50125417950168,23.75181618278413,Residential Building (Apartment / Condo)
Happy place ,61.50107427949445,23.750952146295113,Temple
Konditoria Cafe Mocca,61.5007982,23.7507333,Café
Sallan Ja Vellun Koti,61.501010881952666,23.75056239505939,Building
Parturi-kampaamo Nina Linna,61.5009154456083,23.751107674470152,Salon / Barbershop
Salosen ja pälmän rappu,61.50103969497676,23.750899203666954,
Nääshalli Budo 2,61.501000405372736,23.751506498498237,Martial Arts Dojo
janisan kattohuoneisto;),61.50073889942021,23.752069260506175,Residential Building (Apartment / Condo)
Pääkallopaikka,61.500717,23.750526,Residential Building (Apartment / Condo)
Jäännöserä kirjakauppa,61.5011,23.7529,Bookstore
Seija & Theodore,61.501236,23.75373640701605,Residential Building (Apartment / Condo)
Mältti,61.501166441684475,23.752907067037853,Beach
Fantasiapelit,61.50092244842371,23.756100843835455,Hobby Shop
Tampereen seudun Näkövammaiset,61.50080278022158,23.755567701433677,Office
Tampereen Kamera Service,61.50108857027435,23.75605634609646,Hobby Shop
Ninan Kuvamaailma,61.501048709344175,23.755741468342787,Photography Lab
Aleksintupa,61.501082,23.755122,Office
Näsilinnankatu 9,61.50089995534118,23.755764033981567,Residential Building (Apartment / Condo)
Minimii,61.501265,23.756,Flea Market
Mallashovi,61.50076158622276,23.75745860132059,Bar
Punanaamio,61.5012757814845,23.756150953824523,Costume Shop
Finlayson,61.50105856479499,23.75641107559204,Road
Kassun Pelikolo,61.50072845958591,23.757317485652365,Residential Building (Apartment / Condo)
Ingeborgin Residenssi,61.500782504479396,23.756953723636226,Parking
Asian Foods Market,61.50088862681227,23.756152888995043,Food & Drink Shop
Van Tien Asian Shop,61.501023853063366,23.756127349947736,Food & Drink Shop
Kuninkaankatu 5,61.500942,23.75632,Residential Building (Apartment / Condo)
E&M Luxury Lounge,61.5014613839364,23.757228713045592,Residential Building (Apartment / Condo)
Petran Ripsistudio,61.50127382595512,23.75757456889094,Cosmetics Shop
Bebek,61.500783131264846,23.75619717559477,Electronics Store
Työpaikka,61.50071903462264,23.756123453653426,Office
Star Import & Training,61.50077597807736,23.75607902549838,Cosmetics Shop
ellan paras peti,61.500998865839115,23.757495197360342,Assisted Living
Tarpiankoti,61.50108038663562,23.75679067379475,Medical Center
Focuslink Oy,61.49499056514505,23.808258531176907,Office
Finnkino Plevna,61.501048326425455,23.758320808410645,Multiplex
Finlaysonin alue,61.50095663024607,23.758894538841894,Neighborhood
Aamulehti,61.500956361317854,23.759623446908858,Office
Plevnan Mallaskabinetti,61.50114828308027,23.75868979825935,Beer Garden
Pala Café,61.50120092677586,23.759562181926007,Café
Sali 2,61.501087,23.758287,Multiplex
P Finnpark Plevna,61.50126391197993,23.758651461391135,Parking
Restaurant Tivoli smørrebrød & øl,61.50112713950963,23.75963513199474,Sandwich Place
Juvenes Ziberia,61.50089100251504,23.75968148093073,College Cafeteria
Speakeasy,61.50115781939198,23.75963286470065,Wings Joint
Megazone,61.50077466041204,23.75949211657155,Laser Tag
Karkkimeri,61.50120453874822,23.759592724592235,Candy Store
Classic American Diner,61.50105532043445,23.75978486860206,Burger Joint
Aamulehden auditorio,61.501017611296724,23.75917911529541,Auditorium
Taj,61.501014867000876,23.75965876092463,Indian Restaurant
ZBase Tampere,61.50097153854672,23.759254217147827,Laser Tag
Finlayson Art Area,61.501402,23.760021,Art Gallery
Alma Media,61.5009210710753,23.759645630529917,Office
Ravintola Ziperia,61.50082135737566,23.759772959811034,Food
Fabric bar and bistro,61.50123542706379,23.759625646346464,Bistro
Bussipysäkki 0038,61.500718137202036,23.759645819664,Bus Stop
Tampereen kaupunkiseudun kuntayhtymä,61.50220789999999,23.7631757,Government Building
Juvenes Dot,61.5010715705329,23.759792086707638,School
Meesakatu,61.50128518324773,23.759623638576866,Road
Western Saloon Rodeo,61.50102981868303,23.76086388096186,Nightclub
Digia Finland Oy,61.501135248892304,23.760648179860823,Office
Galleria Nottbeck,61.500974,23.760655,Art Gallery
Tanssistudio Razzmatazz,61.501158649571614,23.76086380653453,Dance Studio
Finla Työterveys Oy,61.5008911,23.7604516,Doctor's Office
Room Escape Finlayson,61.50115491474036,23.761491603657916,Arcade
Siperia,61.50113721371889,23.75947449516615,Shopping Mall
Vakoilumuseo / Spy Museum,61.50123738135627,23.76078121513819,Museum
Media54 sauna,61.50110800465384,23.76155414996216,Sauna / Steam Room
Rodeo,61.500897682399945,23.760676355729583,Bar
Glohair Siperia,61.501156785980704,23.760808712097138,Salon / Barbershop
kuntoklubi james,61.500886740883075,23.760632296083863,Gym
SATO Vuokraus ja myynti Tampere,61.5011427,23.7608716,Residential Building (Apartment / Condo)
SATO Oyj Tampere,61.5011427,23.7608716,Construction & Landscaping
Solita,61.50120240797219,23.76079576926425,Office
Pispala,61.50128892721812,23.760997653007504,Meeting Room
H&M Headmakers,61.501290648207274,23.760445698161003,Salon / Barbershop
Aurinkolintu,61.501109,23.760651,Spa
Fonecta Oy,61.5009464,23.7610848,Advertising Agency
Hakamettä,61.501186,23.761223,Meeting Room
Golden boat,61.501228,23.761203,Chinese Restaurant
Insta,61.50104565048503,23.75990285729956,Building
Satakunnansilta,61.50101750954854,23.762739378519196,Bridge
Jack The Rooster,61.50073259603224,23.763587676334712,Rock Club
Pilates Allegro,61.50103522355308,23.762042801526118,Pilates Studio
Talent Space,61.500971520556476,23.76178268920696,Event Space
"Headmakers, Finlayson",61.501068257867836,23.76339382031194,
Koskitalo,61.50082194903166,23.763252781936277,Building
Kitaraa Ja Kaipuuta,61.501072,23.763102,Bar
"Kulma, näköalapaikka",61.50119300624742,23.763372492602745,Scenic Lookout
samulin lukaali,61.5009880065918,23.76182746887207,Residential Building (Apartment / Condo)
Thaihierontasauna,61.5012,23.763,Spa
YCZ-493,61.5012,23.7633,Moving Target
Kauneushoitola Marja Nurmisto,61.50114770813585,23.76348903665421,Salon / Barbershop
Radisson Blu Grand Hotel Tammer,61.500958,23.764955,Hotel
Vihtorin Kirjasto,61.50112739994668,23.7648834005107,Café
Ravintola Tammer,61.50076927619512,23.76466304042802,Restaurant
PK-Paino,61.501144791447174,23.76481867167761,Factory
Monitoimitalo 13,61.5010511,23.7652092,
Suomen Teatteriopisto,61.50099908758208,23.765098840400277,College Theater
lehtisten jagulaari,61.501277923583984,23.764976501464844,Moving Target
Kokous- ja juhlatila,61.496843,23.775595,Event Space
Bussipysäkki 0536,61.50108,23.765012,Bus Stop
Tiian pötpötpökötti,61.50099563598633,23.76472473144531,Moving Target
Kaukola,61.50082015991211,23.76438522338867,Residential Building (Apartment / Condo)
Mainio,61.501017611296724,23.76366376876831,Office
Monitoimitalo 13,61.5009113938686,23.765903708205496,General Entertainment
Lapintie,61.50112852342795,23.768371253695946,Neighborhood
Cafe 13,61.50094359278042,23.766565199430932,Café
Jopen pelti,61.50104285252182,23.766391334064892,Whisky Bar
Mikaelin Penthouse+Toilet,61.501005051387686,23.7668892128931,Building
Breakfast,61.501086837429916,23.766000700140143,Residential Building (Apartment / Condo)
Tammerkosken Kiropraktiikka,61.501117,23.766502,Doctor's Office
Shopping,61.5007477103099,23.76631231873737,Bank
Style By Heini,61.50121359027593,23.76677797436978,Salon / Barbershop
Jaksolan huudit,61.50091552734375,23.76603126525879,Assisted Living
Vilis batcave,61.50107192993164,23.767168045043945,Animal Shelter
aamupalalla,61.500947,23.766397,Residential Building (Apartment / Condo)
Hautaustoimisto Eloranta,61.501037,23.766441,Funeral Home
Kehys Helmi,61.500933,23.767045,Arts & Crafts Store
pipsan kotiteatteri,61.501225,23.76676,Residential Building (Apartment / Condo)
Koiviston Kattohuoneisto,61.500922,23.766264,Assisted Living
HyvänOlonKlubi,61.500818542776855,23.767257291029743,Gym / Fitness Center
Ojakatu 1,61.500771226719976,23.767268749785757,Residential Building (Apartment / Condo)
Kahvila Runo,61.50101626834617,23.767637693917695,Café
Kyttälän Kirppis,61.50120603307594,23.76759348603112,Flea Market
Sähköliitto,61.50074980721843,23.76810723745396,Conference Room
Muotitalo Tyynelä,61.50099039622475,23.767700637771295,Bridal Shop
Voima.,61.50115203857422,23.76862144470215,Office
Tammerkosken kiropraktiikka,61.5011,23.768,
Estradi,61.501294046363704,23.76843810081482,Salon / Barbershop
Iloiset Silmät,61.501238,23.768056,Shop & Service
Aleksanterinkatu 17,61.500977626670654,23.767969540454644,Residential Building (Apartment / Condo)
Satakunnankatu 7,61.501096167497934,23.768709645388455,Residential Building (Apartment / Condo)
Vintage Garden,61.50073,23.767508,Thrift / Vintage Store
Aleksanterinkatu 15,61.501167,23.767968,Building
Tammerlinna,61.50120190161431,23.7674617767334,Building
salminen 69,61.50075023547783,23.769238531733677,Art Gallery
Herbalife Hyvän olon klubi,61.501300204280604,23.767455848189858,Smoothie Shop
Asunto Oy Tampereen Josefiina,61.500746,23.767473,
Klassillinen lukio,61.50041753176736,23.77006076588235,High School
Ruokala,61.501348933012316,23.769988016063678,High School
Hoitola Auringonsäde,61.501303,23.77098,Spa
juhlasali,61.501219751003845,23.770176857871736,High School
Klassillisen koulun pysäköintialue,61.50088045425109,23.769900496334543,Parking
Kuunkukka,61.501253,23.77055,Arts & Crafts Store
Clasun torni,61.50140017642505,23.770338440981853,High School
Cosvéra,61.500756,23.771035,Health & Beauty Service
hennan ligier,61.50093078613281,23.770030975341797,Moving Target
B1,61.500731573745774,23.771095715835365,High School
Rautatienkatu,61.500637334211405,23.771202459717454,Road
Piketa Oy,61.5006627,23.7712938,Other Repair Shop
Rantatunneli,61.507224,23.775177,Tunnel
Majaniemi Penthouse,61.50076831409478,23.7725425625022,Residential Building (Apartment / Condo)
Postikatu 1,61.500829264173625,23.77230706226242,Residential Building (Apartment / Condo)
Tädin Paratiisi,61.50089645385742,23.772199630737305,Residential Building (Apartment / Condo)
Sannin Parkkis,61.50123441330442,23.772567541580543,Parking
Mäksän mesta,61.501126,23.771502,Residential Building (Apartment / Condo)
SPR Hämeen piiritoimisto,61.50071278745671,23.77132863389529,Coworking Space
Majatalo SutiHärkä,61.501102,23.77165,Residential Building (Apartment / Condo)
B2,61.50081259667376,23.772265963897652,High School
Ulun ja Eemelin luola,61.501012,23.771462,Residential Building (Apartment / Condo)
Gemilo,61.50077188917491,23.771495819091797,Tech Startup
Juhannuslaituri,61.50101189217235,23.774338989037666,
Lompanlinna,61.500741420280285,23.77583598680563,Residential Building (Apartment / Condo)
