0,1,2,3,4
Halkoniemi,4fd0e9bae4b01e9f635eebbe,61.52443093367565,23.70519847190864,Pier
M/Y RUFUS II,4fd0cb55e4b06c6784ad68c6,61.52532059447915,23.70850801324578,Boat or Ferry
Lentävänniemen pururata,51b6f427498ec741135a3a50,61.52550359006772,23.709923477838387,Trail
Reuharin pikkukenttä,4e74553b1f6e072f132ad6d8,61.5252985110101,23.71810544595974,Soccer Field
På bryggan vid Nässy,55cf481d498e0153ca37f0ba,61.524904,23.720144,Bathing Area
Nuotiopaikka,501169b5e4b0abd87463a6b1,61.525513,23.728985,Campground
Reuharin kalliot,4fed8c5ee4b0430e0a51a047,61.52570287547685,23.72867795588243,Beach
M/S Sauna,51a8a981e4b09086363d8321,61.526183682502044,23.744118597831385,Boat or Ferry
järvellä,4fc25556e4b0852f4c71935c,61.52464165595008,23.743777883546407,Lake
Näsijärvi,4d4553f8e198721efff7c48b,61.51875269554073,23.748706161757163,Lake
Siilinkari,4b9f7dbcf964a5203a2637e3,61.517486390213115,23.753913646357464,Lighthouse
Siilinkarin Majakka,513c79bee4b0f66612f84a50,61.517564064204,23.75396490097046,Lighthouse
Kahvila Loisto,4d6f8f4d9aac224b48892eed,61.517144160867424,23.75378789391054,Café
M/Y RUFUS II,4fd0cb6fe4b0e082b890c105,61.51759040109827,23.764336074901735,Boat or Ferry
torpan sänky,4fd7add3e4b0b5d989d5f6dc,61.517024993896484,23.702573776245117,Motel
Pilkillä,4f421edee4b01e824f67437e,61.516457560923946,23.80273146546115,Lake
Privare Beach A La Emilia Ja Annika,51ab58ed498ec0f9fc3be6b7,61.515965,23.806658,Beach
Rauhaniemen kansankylpylä,4b754f49f964a520a0052ee3,61.5153339652977,23.786429566964692,Sauna / Steam Room
Tampereen Vihuri,4de255a7b0fb267148826004,61.51532624906175,23.786510138094247,Harbor / Marina
Rauhaniemen uimaranta,4fd1b2f6e4b02e374ad4613f,61.51484658955247,23.785958290100098,Beach
Vene 71,4da0e2aeb3e7236a95fdfd78,61.51488253561108,23.791167154922036,Boat or Ferry
UG Spa,4ff216c1e4b0426f03601d98,61.515159606933594,23.798606872558594,Spa
Kaupinojan sauna,4baa060af964a5209a443ae3,61.51525578211075,23.804384673957163,Sauna / Steam Room
Kaupinojan uimaranta,4baa0578f964a5206f443ae3,61.51456974190847,23.803315904841813,Beach
Rauhaniemen leikkipaikka,4f798490e4b0633649714fd3,61.51372843290958,23.78342038130281,Playground
Rauhaniemen Beach Volley,51c9ef0e498e2cb9c38f76be,61.513935876969754,23.783437430838266,Volleyball Court
Ravintola Kaupinpuisto,4e33f9e3aeb7226862620916,61.513838,23.806019,Restaurant
UKK-instituutti,4bceec67fb84c9b6ca77243e,61.51375407365049,23.806065370909348,Gym
Lapinniemen puisto,4e22f8a752b1f82ffbadd206,61.512326963569244,23.77357121559438,Park
Bussipysäkki 4901,503d0519e4b04b7426f8082d,61.51292500668388,23.78178465771858,Bus Stop
Rauhaniemen päätepysäkki,4e8339785c5c4705b5ae4318,61.51262063337647,23.784624993083447,Bus Stop
böönälla,4fba6868e4b0c9d40a85b068,61.51166915893555,23.705646514892578,Boat or Ferry
S/Y Artemis,5214efcc498e816337b3dbc4,61.511383791293994,23.749065369773643,Boat or Ferry
Lapinraunionpuisto,4c3b1bb0def90f478e5afd2d,61.51131148409808,23.770693071706546,Park
Lapinniemen Laivalaituri,4e1309c545dde6c62de15351,61.51125520812872,23.77056940970528,Beach
Naistenlahti,4b9f837af964a520ed2737e3,61.511226495462836,23.77063463023385,Harbor / Marina
Holiday Club Tampereen Kylpylä,4b9ad0b3f964a5207fd835e3,61.511621867918635,23.773212051407658,Spa
Nakkifakiiri,4c140e8a7f7f2d7f2044e068,61.51119069394551,23.773212065154034,Food Truck
Kahvila Ansari,531dc68c498eb849ecd5979c,61.51147,23.776066,Café
Lapinniemen Ansari,5284a0f0498ecf00f2c498f3,61.511434647528844,23.776008185450976,Café
