0,1,2,3,4
Dylan's Grill,558e8d51498e348f623ddf37,59.886741677222524,17.66059258410801,Food Truck
Willys Gränby,4bfea372369476b091978c1f,59.88578264974585,17.660844326019287,Grocery Store
Max Hamburgare,4baca64af964a520c3003be3,59.886054486576995,17.667378187179565,Fast Food Restaurant
Blomsterlandet,55f01b37498eabfabb45cfa6,59.885756,17.669029,Flower Shop
City Gross Gränby,5628f207498e6478e711d828,59.88610555108009,17.671016114308312,Shopping Mall
Turbo Sport & Adventure Zone,56d6f432498e13d365bf1019,59.88594859678848,17.67133896433632,Recreation Center
Elon Bo Wahlgren Norra Gränbystaden,5a1ab1d8002f4c0f87cbb18a,59.886384,17.677998,Kitchen Supply Store
Amazing Jewelry,585543fb6431e554e16b5dad,59.88619,17.690454,Jewelry Store
Röbo (B),509d1b88e4b0b72b983e4017,59.885011815092106,17.61948867632679,Bus Station
Frälsarkransens meditationsplats,55797b67498e69ecb39c6fca,59.885292053222656,17.624448776245117,Sculpture Garden
McDonald's,5250fb59498ed3377960d50f,59.88527122131516,17.668562012100878,Fast Food Restaurant
Pizza Hut,53c7bf7c498e9d3758dd3053,59.88500853717575,17.66958208712772,Pizza Place
ChopChop Asian Express,53e24b9f498e38b5df36fa3e,59.88500838281185,17.66963883608625,Asian Restaurant
Subway Gränby,53e23ad6498e1c99b38eeef0,59.884879,17.669577,Sandwich Place
Arken Zoo,5ab52c291c0b342adfa59ee4,59.884581435715546,17.670119027607146,Pet Store
Jysk,5bdd8460c66666002ced1102,59.885143,17.673529,Furniture / Home Store
Sushi of Sweden,5777c597498e5d7f65b7b89f,59.884827,17.671431,Asian Restaurant
BabyWorld,579f577c498e3b956c5ef4ca,59.885161,17.672203,Baby Store
ÖoB Gränby,57519116498e95f30b0dc9c6,59.884926,17.681763,Warehouse Store
Arenahotellet,5a5e348f7269fe3fb529639c,59.883625,17.659872,Hotel
Taco Bar,57829c40498e8d809af1c79c,59.884205,17.671005,Mexican Restaurant
Mangal b.b.q.,59afbbd1d69ed003e770b5ef,59.884831,17.671765,Turkish Restaurant
Puustelli,53fcf0da498ea83bbd9b41d1,59.88354327560041,17.68803119659424,Furniture / Home Store
UTK-Hallen,4d0104c91ebe6dcb8dcd8a91,59.8831085891579,17.66175500868958,Stadium
Mio,5a913bc61953f34302c82d58,59.883251,17.673435,Furniture / Home Store
American Steakhouse Burgers,56e04edf498e8ea30ef58bb0,59.883315830722815,17.68827795982361,Food Truck
IFU Arena,575807d2498ef90d6f92ff30,59.881497779023576,17.656832300255903,Athletics & Sports
Zara,567eb571498e9b9cefde9c89,59.88097292476115,17.61356114657644,Clothing Store
