Name,Id,Latitude,Longtitude,Categories,City,Longtitude_equidistant,Neighborhood_label
Dutton Locks,5cd1d8bd9411f2002c773aa2,53.287877,-2.621786,Canal Lock,"Manchester, England-0-0",-1.5672899806486214,902
The Hollybush,4c5ef4fa9b28d13ac1a95d70,53.2885196551472,-2.5929208898074187,Pub,"Manchester, England-0-0",-1.5500112537485797,902
Daveports Farm shop,4e7dba8f29c28c1d5a7801ac,53.2834113794866,-2.5993587961624125,Farmers Market,"Manchester, England-0-0",-1.5540455194595542,902
Conqueror Canal Boat,52c4235d498e23247d4353c3,53.282816,-2.596445,Boat or Ferry,"Manchester, England-0-0",-1.5523251128518807,902
Marco Marco,4de922dbb0fbcb7c9ad568b9,53.281008802458075,-2.5989684269570885,Restaurant,"Manchester, England-0-0",-1.5538994934684853,902
The Leigh Arms,4bee8ac83686c9b6409a246e,53.279886448773134,-2.5989747047424316,Pub,"Manchester, England-0-0",-1.5539440554814536,902
Riverside,4c2f702b16adc9288d85bd9c,53.2755625,-2.5977008,Restaurant,"Manchester, England-0-0",-1.5533395148480618,902
Woodbine Cottage Camping,524422c7498e44486b9bfdd8,53.27464294433594,-2.5959722995758057,Campground,"Manchester, England-0-0",-1.5523393224613236,902
Saspirella,56fec72f498e3926a52e9a31,53.2740162090271,-2.5902414321899414,Furniture / Home Store,"Manchester, England-0-0",-1.5489350884110573,902
Maypole Inn Pub,4ce828a2e1eeb60c7295a1ae,53.27007588504696,-2.6034217262701755,Restaurant,"Manchester, England-0-0",-1.5569602541719934,902
Sandy Lane Equestrian Centre,4cb1b79d75ebb60ca527cfad,53.269888161072814,-2.584379491108473,Stables,"Manchester, England-0-0",-1.5455789496162224,902
Hare And Hounds Crowton,4f96cb9be4b08e75f32407ff,53.26586339777067,-2.6331303548343143,Restaurant,"Manchester, England-0-0",-1.5748824686344225,389
Acton Bridge Railway Station (ACB),4ba7d1aef964a52021b639e3,53.26659422300271,-2.6027968967718054,Train Station,"Manchester, England-0-0",-1.556713337555404,902
Think Better Ltd,597f9829780eee63cc277976,53.2649166,-2.5827623,Business Service,"Manchester, England-0-0",-1.5447914011942143,902
Hanging Gate Inn,594d6e5058aa7f6b33e04127,53.264343,-2.5863194,Pub,"Manchester, England-0-0",-1.546939709707918,902
Easy Clean Cheshire,5a18276b1543c7074266b122,53.2646255,-2.5707612,Laundry Service,"Manchester, England-0-0",-1.5376238188284517,902
The Poplars Caravan Site,4dbd9104fa8cee727369c837,53.263055,-2.641829,Campground,"Manchester, England-0-0",-1.5801889270754075,389
The Wheatsheaf,4bec6d12b68520a1b9181287,53.26289396074239,-2.580420317954969,Pub,"Manchester, England-0-0",-1.5434636263595596,902
Owley Wood Recreation Club,4ccacac31ce5236a854ec165,53.263465878099296,-2.568353351241635,Social Club,"Manchester, England-0-0",-1.536225294180936,902
Owley Wood,55be41a1498e494904d958e1,53.26278721988715,-2.5656080245971675,Park,"Manchester, England-0-0",-1.534607568341357,902
Co-op Food,4f1b22f6e4b0817d3c68560e,53.26258062857087,-2.5786198743868485,Grocery Store,"Manchester, England-0-0",-1.542398002226283,902
Tesco Express,4bf91b885317a5930fc2007f,53.26218558367144,-2.5771844387054443,Grocery Store,"Manchester, England-0-0",-1.541553638292526,902
Jeneric's,4d3b5e1d6de7721ecf0df849,53.261848,-2.576571,Chinese Restaurant,"Manchester, England-0-0",-1.541198873122054,902
