Name,Id,Latitude,Longtitude,Categories,City,Longtitude_equidistant,Neighborhood_label
Iris Teich,55d0790a498e6d8beed02038,52.32856369018555,13.062232971191404,Lake,"Berlin, Germany-0-0",7.98275528973076,917
Netto Filiale,5713b98e498e6a53af9af528,52.32551442,13.05891152,Supermarket,"Berlin, Germany-0-0",7.981275538012213,917
Thomas Griebel Sanitär-Heizung-Bauklempnerei,5c77ccd666fc65002ceaeef4,52.320947,13.033261,Construction & Landscaping,"Berlin, Germany-0-0",7.966420902730493,917
Warte,5700e589498e2f25b7dd74ea,52.319379999999995,12.994486,Summer Camp,"Berlin, Germany-0-0",7.9430014292160545,917
Bahnhof Michendorf,4b59b719f964a5204d9428e3,52.316618955169155,13.031061428151345,Train Station,"Berlin, Germany-0-0",7.96585547846017,917
Netto Marken-Discount,52824aa3498ee37d04b741ed,52.31709557,13.03321047,Supermarket,"Berlin, Germany-0-0",7.967083381027896,917
Schneiders Das Kartoffelhaus,50117924e4b0cfd789b0f1b8,52.31631184258911,13.030961158473742,German Restaurant,"Berlin, Germany-0-0",7.965849461184663,917
nahkauf,518e63c7498e9123843a56ed,52.3134145,13.061955699999999,Supermarket,"Berlin, Germany-0-0",7.985319201973846,917
BJ- Brunnenbau & Elektrotechnik GbR,5cbf7fa6cf72a0002ce656bd,52.312393,13.014799,Construction & Landscaping,"Berlin, Germany-0-0",7.956673964602754,917
Indian Palace,4f47ff2ce4b068e1cf04d6c7,52.312952868181895,13.030720988250673,Indian Restaurant,"Berlin, Germany-0-0",7.966307201912988,917
Malermäßige Neugestaltung und Rekon,5a44979260255e14fde989ba,52.313094,13.049417,Construction & Landscaping,"Berlin, Germany-0-0",7.977711536979495,917
Grundstücksgemeinschaft Henning & Förster GbR,5c76c785a6031c002cc0cfd7,52.312940999999995,13.063186,Restaurant,"Berlin, Germany-0-0",7.986156768207177,917
Detlef Engelhardt Racing-Service,5c761ed5a0215b002ced08da,52.311359,13.007943,Motorcycle Shop,"Berlin, Germany-0-0",7.952668278527209,917
Social Media Pfleger | smn services,52b6213111d24ad48dca006d,52.311154907340004,13.012661933898926,Advertising Agency,"Berlin, Germany-0-0",7.9555899744971725,917
Happy Clean Reinigungsservice,5a27c8de0c9f315105df1e02,52.3107891,13.010698,Miscellaneous Shop,"Berlin, Germany-0-0",7.954455012938423,917
gutshof langerwisch,4b814ca1f964a5203d9e30e3,52.3106183624953,13.079182267845454,Farm,"Berlin, Germany-0-0",7.996355632673859,501
Kaffeekränzchen & Afternoon Tea,5d14a9a6c56f4800235cec6b,52.309525,13.028467,Café,"Berlin, Germany-0-0",7.9655460523132655,917
Autopflegedienst Wolfgang Schaaf,58f09583121384493326abfb,52.30947854,13.02698394,Automotive Shop,"Berlin, Germany-0-0",7.964647675126775,917
Hipp & Ebert GmbH,5c783ebe8194fc002c6358fb,52.308371,13.021065,Construction & Landscaping,"Berlin, Germany-0-0",7.961228033040629,917
